Tidsperiode,Kvalitetsindikator,Måltall,Lokasjon,Verdi,Sektor,Nivå,QualityIndicatorID,LocationId
2022,30 dagers overlevelse etter sykehusinnleggelse uansett årsak,Sannsynlighet for overlevelse 30 dager etter innleggelse på sykehus,Helse Midt-Norge RHF,"95,4%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,401,983658776
2023,30 dagers overlevelse etter sykehusinnleggelse uansett årsak,Sannsynlighet for overlevelse 30 dager etter innleggelse på sykehus,Helse Midt-Norge RHF,"95,8%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,401,983658776
2024,30 dagers overlevelse etter sykehusinnleggelse uansett årsak,Sannsynlighet for overlevelse 30 dager etter innleggelse på sykehus,Helse Midt-Norge RHF,"95,9%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,401,983658776
2022,30 dagers overlevelse etter sykehusinnleggelse uansett årsak,Sannsynlighet for overlevelse 30 dager etter innleggelse på sykehus,Helse Nord RHF,"95,5%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,401,883658752
2023,30 dagers overlevelse etter sykehusinnleggelse uansett årsak,Sannsynlighet for overlevelse 30 dager etter innleggelse på sykehus,Helse Nord RHF,"95,6%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,401,883658752
2024,30 dagers overlevelse etter sykehusinnleggelse uansett årsak,Sannsynlighet for overlevelse 30 dager etter innleggelse på sykehus,Helse Nord RHF,"95,8%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,401,883658752
2022,30 dagers overlevelse etter sykehusinnleggelse uansett årsak,Sannsynlighet for overlevelse 30 dager etter innleggelse på sykehus,Helse Sør-Øst RHF,"94,8%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,401,991324968
2023,30 dagers overlevelse etter sykehusinnleggelse uansett årsak,Sannsynlighet for overlevelse 30 dager etter innleggelse på sykehus,Helse Sør-Øst RHF,"95,2%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,401,991324968
2024,30 dagers overlevelse etter sykehusinnleggelse uansett årsak,Sannsynlighet for overlevelse 30 dager etter innleggelse på sykehus,Helse Sør-Øst RHF,"95,5%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,401,991324968
2022,30 dagers overlevelse etter sykehusinnleggelse uansett årsak,Sannsynlighet for overlevelse 30 dager etter innleggelse på sykehus,Helse Vest RHF,"95,5%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,401,983658725
2023,30 dagers overlevelse etter sykehusinnleggelse uansett årsak,Sannsynlighet for overlevelse 30 dager etter innleggelse på sykehus,Helse Vest RHF,"95,9%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,401,983658725
2024,30 dagers overlevelse etter sykehusinnleggelse uansett årsak,Sannsynlighet for overlevelse 30 dager etter innleggelse på sykehus,Helse Vest RHF,"96,1%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,401,983658725
2021,30 dagers overlevelse etter sykehusinnleggelse ved hoftebrudd,30-dagers overlevelse etter hoftebrudd,Helse Midt-Norge RHF,"90,8%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,6,983658776
2022,30 dagers overlevelse etter sykehusinnleggelse ved hoftebrudd,30-dagers overlevelse etter hoftebrudd,Helse Midt-Norge RHF,"91,3%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,6,983658776
2023,30 dagers overlevelse etter sykehusinnleggelse ved hoftebrudd,30-dagers overlevelse etter hoftebrudd,Helse Midt-Norge RHF,"91,5%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,6,983658776
2024,30 dagers overlevelse etter sykehusinnleggelse ved hoftebrudd,30-dagers overlevelse etter hoftebrudd,Helse Midt-Norge RHF,"91,3%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,6,983658776
2021,30 dagers overlevelse etter sykehusinnleggelse ved hoftebrudd,30-dagers overlevelse etter hoftebrudd,Helse Nord RHF,"90,2%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,6,883658752
2022,30 dagers overlevelse etter sykehusinnleggelse ved hoftebrudd,30-dagers overlevelse etter hoftebrudd,Helse Nord RHF,"91,1%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,6,883658752
2023,30 dagers overlevelse etter sykehusinnleggelse ved hoftebrudd,30-dagers overlevelse etter hoftebrudd,Helse Nord RHF,"91,2%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,6,883658752
2024,30 dagers overlevelse etter sykehusinnleggelse ved hoftebrudd,30-dagers overlevelse etter hoftebrudd,Helse Nord RHF,"91,0%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,6,883658752
2021,30 dagers overlevelse etter sykehusinnleggelse ved hoftebrudd,30-dagers overlevelse etter hoftebrudd,Helse Sør-Øst RHF,"90,3%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,6,991324968
2022,30 dagers overlevelse etter sykehusinnleggelse ved hoftebrudd,30-dagers overlevelse etter hoftebrudd,Helse Sør-Øst RHF,"90,2%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,6,991324968
2023,30 dagers overlevelse etter sykehusinnleggelse ved hoftebrudd,30-dagers overlevelse etter hoftebrudd,Helse Sør-Øst RHF,"90,5%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,6,991324968
2024,30 dagers overlevelse etter sykehusinnleggelse ved hoftebrudd,30-dagers overlevelse etter hoftebrudd,Helse Sør-Øst RHF,"90,4%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,6,991324968
2021,30 dagers overlevelse etter sykehusinnleggelse ved hoftebrudd,30-dagers overlevelse etter hoftebrudd,Helse Vest RHF,"91,6%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,6,983658725
2022,30 dagers overlevelse etter sykehusinnleggelse ved hoftebrudd,30-dagers overlevelse etter hoftebrudd,Helse Vest RHF,"91,9%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,6,983658725
2023,30 dagers overlevelse etter sykehusinnleggelse ved hoftebrudd,30-dagers overlevelse etter hoftebrudd,Helse Vest RHF,"91,8%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,6,983658725
2024,30 dagers overlevelse etter sykehusinnleggelse ved hoftebrudd,30-dagers overlevelse etter hoftebrudd,Helse Vest RHF,"92,0%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,6,983658725
2021,5 års relativ overlevelse etter brystkreft,5-års relativ overlevelse etter brystkreft,Helse Midt-Norge RHF,"92,2%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,9,983658776
2022,5 års relativ overlevelse etter brystkreft,5-års relativ overlevelse etter brystkreft,Helse Midt-Norge RHF,"91,9%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,9,983658776
2023,5 års relativ overlevelse etter brystkreft,5-års relativ overlevelse etter brystkreft,Helse Midt-Norge RHF,"92,5%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,9,983658776
2024,5 års relativ overlevelse etter brystkreft,5-års relativ overlevelse etter brystkreft,Helse Midt-Norge RHF,"92,6%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,9,983658776
2021,5 års relativ overlevelse etter brystkreft,5-års relativ overlevelse etter brystkreft,Helse Nord RHF,"91,3%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,9,883658752
2022,5 års relativ overlevelse etter brystkreft,5-års relativ overlevelse etter brystkreft,Helse Nord RHF,"91,7%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,9,883658752
2023,5 års relativ overlevelse etter brystkreft,5-års relativ overlevelse etter brystkreft,Helse Nord RHF,"92,3%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,9,883658752
2024,5 års relativ overlevelse etter brystkreft,5-års relativ overlevelse etter brystkreft,Helse Nord RHF,"93,1%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,9,883658752
2021,5 års relativ overlevelse etter brystkreft,5-års relativ overlevelse etter brystkreft,Helse Sør-Øst RHF,"92,5%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,9,991324968
2022,5 års relativ overlevelse etter brystkreft,5-års relativ overlevelse etter brystkreft,Helse Sør-Øst RHF,"92,9%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,9,991324968
2023,5 års relativ overlevelse etter brystkreft,5-års relativ overlevelse etter brystkreft,Helse Sør-Øst RHF,"92,8%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,9,991324968
2024,5 års relativ overlevelse etter brystkreft,5-års relativ overlevelse etter brystkreft,Helse Sør-Øst RHF,"92,9%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,9,991324968
2021,5 års relativ overlevelse etter brystkreft,5-års relativ overlevelse etter brystkreft,Helse Vest RHF,"92,6%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,9,983658725
2022,5 års relativ overlevelse etter brystkreft,5-års relativ overlevelse etter brystkreft,Helse Vest RHF,"92,5%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,9,983658725
2023,5 års relativ overlevelse etter brystkreft,5-års relativ overlevelse etter brystkreft,Helse Vest RHF,"93,1%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,9,983658725
2024,5 års relativ overlevelse etter brystkreft,5-års relativ overlevelse etter brystkreft,Helse Vest RHF,"93,2%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,9,983658725
2021,5 års relativ overlevelse etter endetarmskreft,5-års relativ overlevelse etter behandling av endetarmskreft,Helse Midt-Norge RHF,"72,9%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,10,983658776
2022,5 års relativ overlevelse etter endetarmskreft,5-års relativ overlevelse etter behandling av endetarmskreft,Helse Midt-Norge RHF,"75,0%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,10,983658776
2023,5 års relativ overlevelse etter endetarmskreft,5-års relativ overlevelse etter behandling av endetarmskreft,Helse Midt-Norge RHF,"75,3%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,10,983658776
2024,5 års relativ overlevelse etter endetarmskreft,5-års relativ overlevelse etter behandling av endetarmskreft,Helse Midt-Norge RHF,"74,5%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,10,983658776
2021,5 års relativ overlevelse etter endetarmskreft,5-års relativ overlevelse etter behandling av endetarmskreft,Helse Nord RHF,"73,6%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,10,883658752
2022,5 års relativ overlevelse etter endetarmskreft,5-års relativ overlevelse etter behandling av endetarmskreft,Helse Nord RHF,"71,5%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,10,883658752
2023,5 års relativ overlevelse etter endetarmskreft,5-års relativ overlevelse etter behandling av endetarmskreft,Helse Nord RHF,"71,6%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,10,883658752
2024,5 års relativ overlevelse etter endetarmskreft,5-års relativ overlevelse etter behandling av endetarmskreft,Helse Nord RHF,"70,8%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,10,883658752
