Tidsperiode,Kvalitetsindikator,Måltall,Lokasjon,Verdi,Sektor,Nivå,QualityIndicatorID,LocationId
2021,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Akershus universitetssykehus HF,2678,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983971636
2022,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Akershus universitetssykehus HF,3208,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983971636
2023,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Akershus universitetssykehus HF,3506,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983971636
2024,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Akershus universitetssykehus HF,3457,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983971636
2025,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Akershus universitetssykehus HF,3617,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983971636
2021,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Diakonhjemmet sykehus AS,362,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,982791952
2022,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Diakonhjemmet sykehus AS,326,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,982791952
2023,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Diakonhjemmet sykehus AS,344,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,982791952
2024,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Diakonhjemmet sykehus AS,561,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,982791952
2025,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Diakonhjemmet sykehus AS,512,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,982791952
2021,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Finnmarkssykehuset HF,467,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974880
2022,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Finnmarkssykehuset HF,367,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974880
2023,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Finnmarkssykehuset HF,447,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974880
2024,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Finnmarkssykehuset HF,442,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974880
2025,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Finnmarkssykehuset HF,456,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974880
2021,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helgelandssykehuset HF,477,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974929
2022,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helgelandssykehuset HF,438,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974929
2023,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helgelandssykehuset HF,488,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974929
2024,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helgelandssykehuset HF,488,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974929
2025,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helgelandssykehuset HF,491,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974929
2021,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Bergen HF,2090,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974724
2022,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Bergen HF,2040,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974724
2023,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Bergen HF,2157,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974724
2024,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Bergen HF,2143,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974724
2025,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Bergen HF,2301,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974724
2021,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Fonna HF,928,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974694
2022,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Fonna HF,802,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974694
2023,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Fonna HF,933,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974694
2024,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Fonna HF,962,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974694
2025,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Fonna HF,968,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974694
2021,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Førde HF,582,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974732
2022,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Førde HF,546,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974732
2023,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Førde HF,523,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974732
2024,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Førde HF,521,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974732
2025,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Førde HF,574,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974732
2022,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Midt-Norge Private,22,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,999999993
2023,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Midt-Norge Private,517,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,999999993
2024,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Midt-Norge Private,123,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,999999993
2021,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Møre og Romsdal HF,1325,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,997005562
2022,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Møre og Romsdal HF,1031,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,997005562
2023,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Møre og Romsdal HF,771,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,997005562
2024,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Møre og Romsdal HF,1357,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,997005562
2025,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Møre og Romsdal HF,1521,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,997005562
2021,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Nord Private,0,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,999999994
2021,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Nord-Trøndelag HF,620,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974791
2022,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Nord-Trøndelag HF,615,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974791
2023,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Nord-Trøndelag HF,567,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974791
2024,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Nord-Trøndelag HF,733,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974791
2025,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Nord-Trøndelag HF,804,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974791
2021,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Stavanger HF,1990,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974678
2022,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Stavanger HF,1711,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974678
2023,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Stavanger HF,1628,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974678
2024,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Stavanger HF,1680,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974678
2025,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Stavanger HF,1614,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974678
2022,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Sør-Øst Private,15,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,999999991
2025,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Sør-Øst Private,11,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,999999991
2021,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Vest Private,227,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,999999992
2022,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Vest Private,252,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,999999992
2023,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Vest Private,254,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,999999992
2024,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Vest Private,339,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,999999992
2025,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Vest Private,348,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,999999992
2021,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Lovisenberg diakonale sykehus AS,611,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,965985166
2022,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Lovisenberg diakonale sykehus AS,613,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,965985166
2023,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Lovisenberg diakonale sykehus AS,507,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,965985166
