rolle,brukerprinsipal,enhet_id,tilgangstype
Solli sykehus AS,solli.sykehus.as@eksempel.no,1706cba8312dd56cea5861182dd42acc,Referanse
Akershus universitetssykehus HF,akershus.universitetssykehus.hf@eksempel.no,498b74eb58c19c3689e7c9d9ae69596c,Referanse
"Revmatismesykehuset AS, Lillehammer","revmatismesykehuset.as,.lillehammer@eksempel.no",498b74eb58c19c3689e7c9d9ae69596c,Referanse
Helse Førde HF,helse.førde.hf@eksempel.no,e0e91091a913c8c0ca9fb54de1618f9c,Referanse
NKS Olaviken alderspsykiatriske sykehus AS,nks.olaviken.alderspsykiatriske.sykehus.as@eksempel.no,a6e06721c71a2f80ef5b4ad94b006311,Detalj
Helgelandssykehuset HF,helgelandssykehuset.hf@eksempel.no,ec11d6da18f66c5274c0da7cdeef879a,Detalj
Sykehuset i Vestfold HF,sykehuset.i.vestfold.hf@eksempel.no,1706cba8312dd56cea5861182dd42acc,Referanse
NKS Olaviken alderspsykiatriske sykehus AS,nks.olaviken.alderspsykiatriske.sykehus.as@eksempel.no,1706cba8312dd56cea5861182dd42acc,Referanse
Diakonhjemmet sykehus AS,diakonhjemmet.sykehus.as@eksempel.no,498b74eb58c19c3689e7c9d9ae69596c,Referanse
Solli sykehus AS,solli.sykehus.as@eksempel.no,e0e91091a913c8c0ca9fb54de1618f9c,Referanse
NKS Olaviken alderspsykiatriske sykehus AS,nks.olaviken.alderspsykiatriske.sykehus.as@eksempel.no,e0e91091a913c8c0ca9fb54de1618f9c,Referanse
Sykehuset Telemark HF,sykehuset.telemark.hf@eksempel.no,aca0125ccb2c996a0be5caf225062577,Detalj
Helse Nord-Trøndelag HF,helse.nord-trøndelag.hf@eksempel.no,b5b3d253cce0b572cfc7a0796135598b,Detalj
Helse Bergen HF,helse.bergen.hf@eksempel.no,2b4aac6c4a02d7bd030e23b1fd2b7092,Detalj
Sykehuset Telemark HF,sykehuset.telemark.hf@eksempel.no,1706cba8312dd56cea5861182dd42acc,Referanse
Sykehuset Østfold HF,sykehuset.østfold.hf@eksempel.no,1706cba8312dd56cea5861182dd42acc,Referanse
Helse Bergen HF,helse.bergen.hf@eksempel.no,1706cba8312dd56cea5861182dd42acc,Referanse
Helse Møre og Romsdal HF,helse.møre.og.romsdal.hf@eksempel.no,3412aac9823efaa7a9b4f1bb2fb3a6f7,Referanse
Sørlandet sykehus HF,sørlandet.sykehus.hf@eksempel.no,498b74eb58c19c3689e7c9d9ae69596c,Referanse
Lovisenberg diakonale sykehus AS,lovisenberg.diakonale.sykehus.as@eksempel.no,559df1cad0e4469acd9610c8488c2264,Detalj
Sykehuset i Vestfold HF,sykehuset.i.vestfold.hf@eksempel.no,126f0b0d89ffd519859f32d7b2da3b21,Detalj
Oslo universitetssykehus HF,oslo.universitetssykehus.hf@eksempel.no,1706cba8312dd56cea5861182dd42acc,Referanse
Betanien Hospital Skien,betanien.hospital.skien@eksempel.no,498b74eb58c19c3689e7c9d9ae69596c,Referanse
Universitetssykehuset Nord-Norge HF,universitetssykehuset.nord-norge.hf@eksempel.no,49fca37732ebbdafe6d4ac06482b834f,Detalj
Helse Førde HF,helse.førde.hf@eksempel.no,fdf80458db8a6cdba3adeccb3d960b63,Detalj
Finnmarkssykehuset HF,finnmarkssykehuset.hf@eksempel.no,1706cba8312dd56cea5861182dd42acc,Referanse
Helse Møre og Romsdal HF,helse.møre.og.romsdal.hf@eksempel.no,1706cba8312dd56cea5861182dd42acc,Referanse
