indikator_id,indikator_kode,indikator_navn,indikatorgruppe,datakilde,enhet,retning,malverdi,er_utfaset,kildetype
c6e03b74be4ba3cb7cd0be5049806c47,Antall henvisninger for pasienter under 23 år,Antall henvisninger for pasienter under 23 år,"Barne- og ungdomsgarantien, andel vurdert innen 10 dager",NKI,Antall,Ingen retning,,false,Kvalitet
19d843f95b4554a2966653d3a805729c,Antall brudd på vurderingsgarantien i somatisk helse,Antall brudd på vurderingsgarantien i somatisk helse,Brudd på vurderingsgarantien i somatisk helse,NKI,Antall,Ingen retning,,false,Kvalitet
62a8c6f5a9b01df53d55c6464550e61d,Antall barn som dør 0-27 dager (neonatalt døde) etter fødsel per 1000 levendefødte siste 2 år,Antall barn som dør 0-27 dager (neonatalt døde) etter fødsel per 1000 levendefødte siste 2 år,Dødelighet i nyfødtperioden,NKI,Antall,Ingen retning,,false,Kvalitet
3a8f928ad91937cb80e53861650e5ce3,Antall avsluttede pasientforløp i somatikk hvor epikrise sendes innen 7 dager,Antall avsluttede pasientforløp i somatikk hvor epikrise sendes innen 7 dager,Epikrisetid ved utskriving fra somatisk helsetjeneste,NKI,Antall,Høyere er bedre,,false,Kvalitet
03f837a5931eb8f291f0f7d1feaef0e7,Antall avsluttede pasientforløp i PHV hvor epikrise sendes innen 7 dager,Antall avsluttede pasientforløp i PHV hvor epikrise sendes innen 7 dager,Epikrisetid ved utskrivning fra døgnbehandling i psykisk helsevern for voksne,NKI,Antall,Høyere er bedre,,false,Kvalitet
f7637fe82a1a09a72f11893cd8dfb240,Andel avsluttede pasientforløp i TSB hvor epikrise sendes innen 1 dag,Andel avsluttede pasientforløp i TSB hvor epikrise sendes innen 1 dag,Epikrisetid ved utskrivning fra døgnbehandling i TSB,NKI,Prosent,Høyere er bedre,70.0,false,Kvalitet
38104d2c6ba8cb8ce698cc45a515ca33,Antall avsluttede pasientforløp i TSB hvor epikrise mangler,Antall avsluttede pasientforløp i TSB hvor epikrise mangler,Epikrisetid ved utskrivning fra døgnbehandling i TSB,NKI,Antall,Høyere er bedre,,false,Kvalitet
ba1127914d52663c68c123b0b2a22d73,Andregenerasjons cefalosporiner - DDD per 100 liggedøgn,Andregenerasjons cefalosporiner - DDD per 100 liggedøgn,Forbruk av et utvalg bredspektrede antibiotika i sykehus,NKI,Ukjent,Ingen retning,,false,Kvalitet
04b309c710c8a9a7901c8d33017a8243,Andel store rifter blant alle vaginalt fødende,Andel store rifter blant alle vaginalt fødende,Forekomst av fødselsrifter,NKI,Prosent,Ingen retning,,false,Kvalitet
23a5868f5f3d87abae5cc51396695697,Antall fristbrudd for pasienter som har påbegynt helsehjelp i PHV,Antall fristbrudd for pasienter som har påbegynt helsehjelp i PHV,Fristbrudd for pasienter som har påbegynt behandling i psykisk helsevern for voksne,NKI,Antall,Lavere er bedre,,false,Kvalitet
60fe8743e07e473033d8baac71a5a6d3,Antall fødsler uten større inngrep og komplikasjoner hos flergangsfødende,Antall fødsler uten større inngrep og komplikasjoner hos flergangsfødende,Fødsler uten større inngrep og komplikasjoner,NKI,Antall,Ingen retning,,false,Kvalitet
93883cbd2f8227d8060857910a045b60,Antall fødsler uten større inngrep og komplikasjoner hos førstegangsfødende,Antall fødsler uten større inngrep og komplikasjoner hos førstegangsfødende,Fødsler uten større inngrep og komplikasjoner,NKI,Antall,Ingen retning,,false,Kvalitet
cb325069c0691bd0e0a040530130b1ed,Totalt antall pasienter med akutt hjerneslag som er innlagt i sykehus og utskrevet i live,Totalt antall pasienter med akutt hjerneslag som er innlagt i sykehus og utskrevet i live,Gjennomført tverrfaglig funksjonsvurdering innen anbefalt tid etter hjerneslag,NKI,Antall,Ingen retning,,false,Kvalitet
