"År";"Periode";"Tjenesteområde";"Aktører";"Bostedsregion";"Antall pasienter";"Antall pasienter i døgnbehandling";"Antall oppholdsdøgn";"Antall kontakter i poliklinikk";"FLAGG"
"2017";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Landet";"39760";"1031";"30556";"348632";""
"2017";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Sør-Øst";"20577";"448";"18999";"193141";""
"2017";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Vest";"9079";"274";"5376";"70345";""
"2017";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Midt-Norge";"6120";"158";"2255";"54469";""
"2017";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Nord";"4014";"152";"3926";"30677";""
"2017";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Landet";"49148";"1538";"56802";"607923";""
"2017";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Sør-Øst";"25413";"672";"37096";"333513";""
"2017";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Vest";"11213";"401";"8938";"122358";""
"2017";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Midt-Norge";"7563";"242";"4101";"96976";""
"2017";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Nord";"5094";"227";"6667";"55076";""
"2017";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Landet";"57252";"2114";"88414";"928875";""
"2017";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Sør-Øst";"29632";"907";"57407";"504314";""
"2017";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Vest";"12968";"548";"13578";"187765";""
"2017";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Midt-Norge";"8901";"361";"6819";"149760";""
"2017";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Nord";"5966";"306";"10610";"87036";""
"2018";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Landet";"39322";"1011";"32075";"309393";""
"2018";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Sør-Øst";"20310";"464";"18791";"168230";""
"2018";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Vest";"8984";"230";"5279";"66308";""
"2018";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Midt-Norge";"5867";"170";"3668";"43646";""
"2018";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Nord";"4219";"150";"4337";"31209";""
"2018";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Landet";"48425";"1499";"58463";"536922";""
"2018";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Sør-Øst";"25039";"660";"36120";"296921";""
"2018";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Vest";"11151";"372";"8624";"115907";""
"2018";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Midt-Norge";"7188";"257";"6596";"70241";""
"2018";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Nord";"5197";"215";"7123";"53853";""
"2018";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Landet";"56658";"2060";"88417";"831638";""
"2018";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Sør-Øst";"29540";"877";"53666";"462830";""
"2018";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Vest";"12939";"542";"13349";"180306";""
"2018";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Midt-Norge";"8361";"359";"10377";"104370";""
"2018";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Nord";"6067";"288";"11025";"84132";""
"2019";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Landet";"39073";"981";"29041";"311336";""
"2019";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Sør-Øst";"20248";"444";"17712";"176492";""
"2019";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Vest";"9212";"223";"4641";"68986";""
"2019";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Midt-Norge";"5496";"159";"2615";"34937";""
"2019";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Nord";"4169";"156";"4073";"30921";""
"2019";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Landet";"48062";"1421";"52617";"541575";""
"2019";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Sør-Øst";"25130";"625";"33022";"308316";""
"2019";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Vest";"11190";"345";"8519";"118135";""
"2019";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Midt-Norge";"6735";"237";"4494";"61181";""
"2019";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Nord";"5163";"221";"6582";"53943";""
"2019";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Landet";"56357";"2068";"80222";"839893";""
"2019";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Sør-Øst";"29558";"870";"49406";"478066";""
"2019";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Vest";"13042";"524";"13715";"183834";""
"2019";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Midt-Norge";"7931";"374";"6673";"94659";""
"2019";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Nord";"6064";"308";"10428";"83334";""
"2020";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Landet";"38551";"923";"26566";"308560";""
"2020";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Sør-Øst";"20155";"415";"16296";"177577";""
"2020";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Vest";"8985";"223";"4322";"66273";""
"2020";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Midt-Norge";"5240";"149";"2355";"33783";""
"2020";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Nord";"4211";"136";"3593";"30927";""
"2020";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Landet";"47116";"1441";"48271";"567941";""
"2020";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Sør-Øst";"24653";"625";"30261";"327354";""
"2020";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Vest";"10954";"371";"7554";"121013";""
"2020";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Midt-Norge";"6494";"242";"4139";"63070";""
"2020";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Nord";"5153";"208";"6317";"56504";""
"2020";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Landet";"56715";"2126";"76303";"906087";""
"2020";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Sør-Øst";"29645";"888";"46506";"522162";""
"2020";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Vest";"13223";"555";"12518";"193258";""
"2020";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Midt-Norge";"7899";"390";"6864";"101717";""
"2020";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Nord";"6172";"300";"10415";"88950";""
"2021";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Landet";"43549";"1210";"31750";"366156";""
"2021";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Sør-Øst";"22448";"525";"20137";"208327";""
"2021";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Vest";"10332";"295";"4969";"79177";""
"2021";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Midt-Norge";"6143";"204";"2617";"42369";""
"2021";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Nord";"4662";"188";"4027";"36283";""
"2021";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Landet";"54637";"1822";"59781";"643762";""
"2021";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Sør-Øst";"28352";"781";"39117";"368264";""
"2021";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Vest";"12956";"447";"8975";"138558";""
"2021";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Midt-Norge";"7688";"322";"4660";"75470";""
"2021";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Nord";"5771";"279";"7029";"61470";""
"2021";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Landet";"64576";"2470";"92741";"987051";""
"2021";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Sør-Øst";"33974";"1038";"60461";"567048";""
"2021";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Vest";"15101";"613";"14059";"213841";""
"2021";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Midt-Norge";"8939";"454";"7333";"114947";""
"2021";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Nord";"6789";"376";"10888";"91215";""
"2022";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Landet";"46369";"1167";"31529";"351470";""
"2022";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Sør-Øst";"24322";"511";"20014";"202987";""
"2022";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Vest";"11140";"294";"4842";"77736";""
"2022";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Midt-Norge";"6222";"214";"2756";"40335";""
"2022";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Nord";"4719";"149";"3917";"30412";""
"2022";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Landet";"57663";"1749";"58588";"624146";""
"2022";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Sør-Øst";"30536";"762";"38744";"359312";""
"2022";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Vest";"13689";"433";"8757";"138086";""
"2022";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Midt-Norge";"7790";"322";"4325";"73192";""
"2022";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Nord";"5781";"237";"6762";"53556";""
"2022";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Landet";"68016";"2391";"90292";"979059";""
"2022";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Sør-Øst";"36250";"1044";"59201";"563678";""
"2022";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Vest";"15998";"559";"13467";"215900";""
"2022";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Midt-Norge";"9228";"451";"6974";"115212";""
"2022";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Nord";"6758";"343";"10650";"84269";""
"2023";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Landet";"49513";"1193";"32189";"377333";""
"2023";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Sør-Øst";"25884";"512";"20671";"213460";""
"2023";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Vest";"11511";"280";"4922";"81436";""
"2023";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Midt-Norge";"7137";"218";"2653";"49525";""
"2023";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Nord";"5021";"184";"3943";"32912";""
"2023";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Landet";"61341";"1732";"56862";"664103";""
"2023";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Sør-Øst";"32585";"744";"37744";"376277";""
"2023";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Vest";"14030";"420";"8224";"141131";""
"2023";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Midt-Norge";"8728";"312";"4224";"89661";""
"2023";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Nord";"6120";"260";"6670";"57034";""
"2023";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Landet";"71460";"2311";"85382";"1016164";""
"2023";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Sør-Øst";"38090";"994";"56888";"574565";""
"2023";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Vest";"16207";"560";"12132";"215245";""
"2023";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Midt-Norge";"10191";"415";"6226";"137962";""
"2023";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Nord";"7167";"348";"10136";"88392";""
"2024";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Landet";"49577";"1102";"31169";"378396";""
"2024";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Sør-Øst";"25745";"486";"19908";"212334";""
"2024";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Vest";"11226";"264";"4963";"78254";""
"2024";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Midt-Norge";"7451";"187";"2264";"52042";""
"2024";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Nord";"5191";"166";"4034";"35766";""
"2024";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Landet";"61520";"1624";"55268";"662975";""
"2024";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Sør-Øst";"32359";"733";"36601";"375755";""
"2024";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Vest";"13804";"387";"8629";"136417";""
"2024";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Midt-Norge";"9141";"263";"3520";"90554";""
"2024";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Nord";"6344";"243";"6518";"60249";""
"2024";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Landet";"72317";"2209";"83058";"1026912";""
"2024";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Sør-Øst";"38209";"965";"54044";"583811";""
"2024";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Vest";"16007";"559";"13471";"211891";""
"2024";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Midt-Norge";"10804";"378";"5485";"138522";""
"2024";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Nord";"7486";"311";"10058";"92688";""
"2025";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Landet";"51771";"1124";"28833";"373234";""
"2025";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Sør-Øst";"26740";"518";"18605";"213306";""
"2025";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Vest";"11423";"279";"4763";"73275";""
"2025";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Midt-Norge";"8028";"169";"2005";"50821";""
"2025";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Nord";"5615";"158";"3460";"35832";""
"2025";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Landet";"63791";"1702";"53698";"663763";""
"2025";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Sør-Øst";"33561";"789";"36030";"383865";""
"2025";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Vest";"13816";"416";"7783";"126149";""
"2025";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Midt-Norge";"9704";"259";"3750";"90673";""
"2025";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Nord";"6840";"238";"6135";"63076";""
"2025";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Landet";"75027";"2345";"82402";"1032242";""
"2025";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Sør-Øst";"39889";"1066";"54609";"598323";""
"2025";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Vest";"16088";"573";"12231";"196619";""
"2025";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Midt-Norge";"11285";"377";"6290";"140330";""
"2025";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Nord";"7979";"331";"9272";"96970";""
"2026";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Landet";"52134";"1138";"31566";"389560";""
"2026";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Sør-Øst";"26814";"514";"19909";"224623";""
"2026";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Vest";"11657";"300";"6289";"80136";""
"2026";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Midt-Norge";"8247";"162";"2349";"48958";""
"2026";"januar-april";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Nord";"5435";"162";"3019";"35843";""
"2026";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Landet";"";"";"";"";".."
"2026";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Sør-Øst";"";"";"";"";".."
"2026";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Vest";"";"";"";"";".."
"2026";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Midt-Norge";"";"";"";"";".."
"2026";"januar-august";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Nord";"";"";"";"";".."
"2026";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Landet";"";"";"";"";".."
"2026";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Sør-Øst";"";"";"";"";".."
"2026";"hele året";"PHBU-Psykisk helsevern for barn og unge";"Alle aktører";"Region Vest";"";"";"";"";".."
