"År";"Periode";"Tjenesteområde";"Aktører";"Bostedsregion";"Antall pasienter";"Antall pasienter i døgnbehandling";"Antall oppholdsdøgn";"Antall kontakter i poliklinikk";"FLAGG"
"2017";"januar-april";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Landet";"97221";"13361";"363155";"664176";""
"2017";"januar-april";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"53220";"7087";"197410";"375405";""
"2017";"januar-april";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Vest";"18819";"2902";"82242";"126627";""
"2017";"januar-april";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"15270";"1823";"43385";"102819";""
"2017";"januar-april";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Nord";"10079";"1568";"40118";"59325";""
"2017";"januar-april";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Landet";"34720";"0";"0";"230959";""
"2017";"januar-april";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Sør-Øst";"22718";"0";"0";"160680";""
"2017";"januar-april";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Vest";"7783";"0";"0";"43778";""
"2017";"januar-april";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Midt-Norge";"2487";"0";"0";"14625";""
"2017";"januar-april";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Nord";"1749";"0";"0";"11876";""
"2017";"januar-april";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Landet";"129424";"13361";"363155";"895135";""
"2017";"januar-april";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Sør-Øst";"74333";"7087";"197410";"536085";""
"2017";"januar-april";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Vest";"26077";"2902";"82242";"170405";""
"2017";"januar-april";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Midt-Norge";"17527";"1823";"43385";"117444";""
"2017";"januar-april";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Nord";"11674";"1568";"40118";"71201";""
"2017";"januar-august";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Landet";"124486";"20594";"705473";"1224460";""
"2017";"januar-august";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"68426";"11051";"385584";"696843";""
"2017";"januar-august";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Vest";"24080";"4380";"160636";"232667";""
"2017";"januar-august";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"19600";"2825";"84026";"188022";""
"2017";"januar-august";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Nord";"12892";"2393";"75227";"106928";""
"2017";"januar-august";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Landet";"43388";"0";"0";"419739";""
"2017";"januar-august";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Sør-Øst";"28159";"0";"0";"290776";""
"2017";"januar-august";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Vest";"9798";"0";"0";"80158";""
"2017";"januar-august";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Midt-Norge";"3324";"0";"0";"27374";""
"2017";"januar-august";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Nord";"2193";"0";"0";"21431";""
"2017";"januar-august";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Landet";"163179";"20594";"705473";"1644199";""
"2017";"januar-august";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Sør-Øst";"93522";"11051";"385584";"987619";""
"2017";"januar-august";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Vest";"32979";"4380";"160636";"312825";""
"2017";"januar-august";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Midt-Norge";"22462";"2825";"84026";"215396";""
"2017";"januar-august";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Nord";"14827";"2393";"75227";"128359";""
"2017";"hele året";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Landet";"150421";"26888";"1063421";"1859924";""
"2017";"hele året";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"82871";"14470";"580401";"1058034";""
"2017";"hele året";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Vest";"29230";"5740";"242643";"355667";""
"2017";"hele året";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"23618";"3718";"126288";"283796";""
