"År";"Periode";"Tjenesteområde";"Aktører";"Bostedsregion";"Antall pasienter";"Antall pasienter i døgnbehandling";"Antall oppholdsdøgn";"Antall døgnopphold";"Antall kontakter i poliklinikk";"Antall dagbehandlinger";"FLAGG"
"2017";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Landet";"1081626";"238493";"1333543";"314297";"1999900";"223361";""
"2017";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"586698";"130954";"709812";"173352";"1084661";"132495";""
"2017";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Vest";"225022";"51303";"279781";"67200";"408261";"38786";""
"2017";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"159046";"32725";"196613";"42815";"318735";"25187";""
"2017";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Nord";"111169";"23544";"147337";"30930";"188243";"26893";""
"2017";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Landet";"507190";"0";"0";"0";"858093";"0";""
"2017";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Sør-Øst";"322615";"0";"0";"0";"560736";"0";""
"2017";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Vest";"94113";"0";"0";"0";"150148";"0";""
"2017";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Midt-Norge";"61393";"0";"0";"0";"102722";"0";""
"2017";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Nord";"29126";"0";"0";"0";"44487";"0";""
"2017";"januar-april";"Somatikk (SOM)";"Alle aktører";"Landet";"1424979";"238493";"1333543";"314297";"2857993";"223361";""
"2017";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Sør-Øst";"808891";"130954";"709812";"173352";"1645397";"132495";""
"2017";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Vest";"287918";"51303";"279781";"67200";"558409";"38786";""
"2017";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Midt-Norge";"198683";"32725";"196613";"42815";"421457";"25187";""
"2017";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Nord";"129895";"23544";"147337";"30930";"232730";"26893";""
"2017";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Landet";"1566913";"420884";"2604278";"611966";"3788506";"421050";""
"2017";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"851659";"231410";"1390479";"337706";"2058187";"252043";""
"2017";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Vest";"327490";"90790";"545785";"131073";"772753";"71922";""
"2017";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"227869";"57627";"380830";"83009";"601941";"46010";""
"2017";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Nord";"161415";"41188";"287184";"60178";"355625";"51075";""
"2017";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Landet";"785756";"0";"0";"0";"1579207";"0";""
"2017";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Sør-Øst";"496299";"0";"0";"0";"1031564";"0";""
"2017";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Vest";"147902";"0";"0";"0";"278271";"0";""
"2017";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Midt-Norge";"94766";"0";"0";"0";"186581";"0";""
"2017";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Nord";"47058";"0";"0";"0";"82791";"0";""
"2017";"januar-august";"Somatikk (SOM)";"Alle aktører";"Landet";"2012346";"420884";"2604278";"611966";"5367713";"421050";""
