"År";"Periode";"Tjenesteområde";"Aktører";"Bostedsregion";"Antall pasienter";"Antall pasienter i døgnbehandling";"Antall oppholdsdøgn";"Antall kontakter i poliklinikk";"FLAGG"
"2017";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Landet";"24099";"4988";"214192";"208086";""
"2017";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Sør-Øst";"15341";"2926";"125609";"116507";""
"2017";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Vest";"5111";"978";"44022";"68100";""
"2017";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Midt-Norge";"2317";"617";"23786";"16870";""
"2017";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Nord";"1376";"467";"20775";"6609";""
"2017";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Landet";"28815";"7187";"425986";"392881";""
"2017";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Sør-Øst";"18387";"4223";"250784";"217843";""
"2017";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Vest";"5935";"1417";"87240";"131298";""
"2017";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Midt-Norge";"2862";"887";"46714";"30859";""
"2017";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Nord";"1750";"671";"41248";"12881";""
"2017";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Landet";"33185";"9014";"641718";"594945";""
"2017";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Sør-Øst";"21277";"5353";"376021";"331110";""
"2017";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Vest";"6646";"1741";"130848";"197456";""
"2017";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Midt-Norge";"3348";"1098";"71225";"45938";""
"2017";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Nord";"2118";"847";"63624";"20441";""
"2018";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Landet";"23570";"4924";"210243";"203172";""
